the_date,make_great_again_commits
2015-10-28,"Make ""arc land"" great again"
2015-11-03,make the bot great again
2015-11-16,Make migration #2 great again;
2015-12-16,make tests GREAT again
2015-12-16,MAKE TESTING GREAT AGAIN! (tm)
2015-12-23,make the controller great again
2015-12-27,make classnames great again
2016-01-01,Make the testing coverage great again
2016-01-12,Make tests great again
2016-01-17,make tests great again. Using same /status than on app server
2016-01-21,Make XORFastHash great again
2016-01-22,Make things work great again(tm)
2016-01-22,Make serving Swift apps great again!
2016-01-22,Make templates great again
2016-01-23,make heroku great again
2016-01-23,make tests great again
2016-01-23,make heroku great again
2016-02-04,make pickups great again
2016-02-10,Make this sentence great again
2016-02-12,Make keywords great again.
2016-02-12,"Make build system great again, yet again"
2016-02-13,[Article] Make Sci-fi Great Again.
2016-02-14,Make the TagControl great again!
2016-02-17,Make 4.3 kernel great again!
2016-02-17,Make pre-publish great again
2016-02-21,nms: Make NMS great again
2016-02-24,make goify great againg
2016-02-26,make add new form great again
2016-02-28,Make eslint great again.
2016-02-28,"cap: implicitly enable cap-notify on CAP LS 302, to MAKE IRC GREAT AGAIN!!!!oneoneone"
2016-03-02,Make testConfig great again!
2016-03-05,Make Packet Streaming Great Again
2016-03-05,Let's Make Search Great Again!
2016-03-07,Make HistoGlobe Great Again
2016-03-07,Make HistoGlobe Great Again
2016-03-07,MAKE HISTOGLOBE GREAT AGAIN!
2016-03-07,Make HistoGlobe Great Again
2016-03-07,MAKE HISTOGLOBE GREAT AGAIN!
2016-03-07,MAKE HISTOGLOBE GREAT AGAIN!
2016-03-10,Make America great again.
2016-03-12,make scripting great again
2016-03-12,refactor: make tmuxline great again
2016-03-12,make tests great again
2016-03-17,Make Scrolling Great Again
2016-03-18,Make MazePredicateMany great again.
2016-03-23,Add navbar item - Rename social networks to media - Add titles to media - Add Twitch & Osu! to media - Make email great again - Change sizes in media & contact
2016-03-23,Make intersections great again!
2016-03-23,make tests great again again
2016-03-24,make bling great again
2016-03-24,make vendor great again
2016-04-01,Make trickle() great again.
2016-04-01,S72.00 Make SonarQube Great Again
2016-04-02,Make DB Great Again
2016-04-04,make tests great again
2016-04-04,Make Tahoma great again
2016-04-05,Make VPN Great Again
2016-04-05,Make VPN Great Again
2016-04-06,Make Moderate Comment Screen Great Again by showing links
2016-04-06,Make Moderate Comment Screen Great Again by showing links
2016-04-06,Make Moderate Comment Screen Great Again by showing links
2016-04-06,Make Moderate Comment Screen Great Again by showing links
2016-04-07,Let's make thirst great again!
2016-04-11,Make Soft CSS great again !!
2016-04-11,Make NameLayer great again
2016-04-17,make packet.c great again
2016-04-18,Make ruby completion great again
2016-04-21,Make America (aka submitOnEnter) great again (#3181)
2016-04-21,make backtraces great again
2016-04-22,Bugfix: Make recompilation great again
2016-04-28,make fork aux argument passing great again
2016-04-28,Make TestDeleteFile and TestDeleteDir great again.
2016-04-29,"Make command line args great again, bump version"
2016-04-29,"Make command line args great again, bump version"
2016-05-02,Make docfx great again!
2016-05-04,Make Big City Great Again
2016-05-05,Make mobile great again (#151)
2016-05-06,Make iFrames great again
2016-05-09,Make NavBar great again!
2016-05-10,Make EditorUtils great again (fix it so it actually compiles when building)
2016-05-11,Make carpool great again
2016-05-11,Make carpool great again
2016-05-12,Make Pulivari Great Again :trumpet:
2016-05-12,Let's make YAHRP great again!
2016-05-14,Make ols docstring great again
2016-05-15,added Commands class and tryed to make geekbot great again
2016-05-15,fix: make the script great again
2016-05-16,make folds great again
2016-05-16,make i3 great again
2016-05-20,make debian package build great again
2016-05-22,"Big UI overhaul, 'Make the UI Great Again'"
2016-05-24,Make Flow great again
2016-05-24,docs: make docs great again (#1104)
2016-05-27,Make quick edits great again.
2016-05-27,Make words great again
2016-05-28,LETS MAKE HTTP AUTH GREAT AGAIN
2016-05-30,Make autocompletion great again
2016-05-30,make retries great again
2016-05-30,make the priors panel look great again by setting label widths #492
2016-06-01,Make FFS great again! - Chisel support back in - WAILA support back in
2016-06-07,Make dotfiles great again
2016-06-08,Make short urls great again
2016-06-08,Make the Wall great again (fixes #108)
2016-06-09,Make `get` great again!
2016-06-11,Make HTML great again
2016-06-13,Make KeyboardLayoutEngine great again!
2016-06-15,Make Cherry great again! (it now compile!)
2016-06-15,Make lifetimeportlet great again
2016-06-16,Make code great again
2016-06-16,make html emails great again fixes #258
2016-06-19,Make GeoIP Great Again!
2016-06-19,Make the tests great again!
2016-06-20,Run full tests again. Make travis great again.
2016-06-21,"Merge ""Make pep8 job great again"""
2016-06-21,Make pep8 job great again
2016-06-22,Make Profile section great again
2016-06-23,Make swift great again (#2033)
2016-06-23,Make Colours Great Again
2016-06-25,"Make Ameri… erm, koel-focus great again"
2016-06-25,make cancel button great again
2016-06-25,Fix #5160 - make afbj great again
2016-06-26,make the player great again
2016-06-27,Make tox great again
2016-06-27,Remove hacks for syrups and juices; make backups great again
2016-06-29,make autism great again
2016-06-29,make emissive intensity great again
2016-06-30,Make the support identifier great again.
2016-07-01,Refactor workqueues a little to make them great again
2016-07-03,changes to make america great again
2016-07-03,Make travis r-cmd check great again
2016-07-04,Make header margin great again.
2016-07-04,Make white backgrounds great again.
2016-07-04,make font sizing great again (ems not px)
2016-07-07,make --abs-val great again
2016-07-08,Make Silk Great Again and Upgrade Dev Project (#122)
2016-07-15,"cmd/goimports, imports: make goimports great again"
